expression,reading,meaning,indonesian_meaning
踏む,ふむ,"to step on, to tread on",menginjak
～区,～く,"~ district, ~ ward, ~ borough","distrik, wilayah"
すっと,すっと,"straight, quickly","langsung, cepat"
盗む,ぬすむ,to steal; to rob,mencuri
大抵,たいてい,"generally, usually","biasanya, umumnya"
とうとう,とうとう,"finally, at last",akhirnya
ガソリン,ガソリン,"gasoline, petrol",bensin
鳴る,なる,"to sound, to ring (v.i.)",berbunyi (intransitif)
しっかり,しっかり,"firmly, steady","dengan kuat, erat"
生きる,いきる,to live,hidup
苦い,にがい,bitter,pahit
沸く,わく,"to boil, to grow hot",mendidih
意見,いけん,"opinion, view, idea","pendapat, opini"
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely","ternyata, seperti dugaan"
漫画,まんが,"comic (book), cartoon","komik, manga"
ステレオ,ステレオ,stereo,stereo
医学,いがく,medical science,ilmu kedokteran
テキスト,テキスト,text; text book,buku teks
～月,～つき,month,bulan (durasi)
折る,おる,"to snap, to break; to bend","mematahkan, melipat"
～会,～かい,~ meeting,"pertemuan, rapat"
うかがう,うかがう,to ask,"bertanya, mengunjungi (sopan)"
聞こえる,きこえる,"to be heard, to be audible",terdengar
僕,ぼく,I (used by men towards those of equal or lower status),saya (laki-laki)
必ず,かならず,"surely, certainly","pasti, tentu saja"
壊す,こわす,"to break, to break down",merusak
怒る,おこる,to get angry; to scold angrily,marah
床屋,とこや,barber's (shop),pangkas rambut
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),sepeda motor
運動,うんどうする,exercise,"olahraga, latihan"
止む,やむ,"to cease, to stop",berhenti (hujan/tangis)
もし,もし,if,"jika, seandainya"
表,おもて,surface; front; outside,"permukaan, bagian depan"
大学生,だいがくせい,"college student, university student",mahasiswa
運転手,うんてんしゅ,driver (by occupation),sopir
予習,よしゅう,preparation of lessons (for class),belajar mandiri (sebelum kelas)
心配,しんぱいする,"worry, concern",khawatir
別,べつ,"distinction, different","berbeda, lain"
非常に,ひじょうに,extremely; very,"sangat, luar biasa"
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,rumah (orang lain)
柔らかい,やわらかい,"soft (in reference to texture), tender","lembut, empuk"
拾う,ひろう,"to pick up (something), to find","memungut, menemukan"
～ございます,～ございます,"to be (polite), to exist",ada (sangat sopan)
気,き,"spirit, mood","perasaan, semangat"
比べる,くらべる,to compare,membandingkan
ほとんど,ほとんど,"mostly, almost",hampir seluruhnya
つもり,つもり,"intention, plan","niat, rencana"
郊外,こうがい,"suburb, outskirts",pinggiran kota
だめ,だめ,"useless, no good, hopeless","tidak boleh, percuma"
売り場,うりば,place where things are sold,"tempat jualan, konter"
正月,しょうがつ,"New Year, New Year's Day",Tahun Baru
規則,きそく,"rule, regulation","aturan, regulasi"
うん,うん,"yes (informal), all right (ok)",ya (informal)
発音,はつおん,pronunciation,"pelafalan, pengucapan"
焼く,やく,"to bake, to grill",memanggang
屋上,おくじょう,rooftop,"atap rumah, balkon atas"
失礼,しつれい,"discourtesy, impoliteness; Excuse me","tidak sopan, permisi"
ごみ,ごみ,"trash, garbage",sampah
アフリカ,アフリカ,Africa,Afrika
点,てん,"mark, score, grade; point, dot","nilai, poin"
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",bersungguh-sungguh
今度,こんど,"now, this time, near future, one of these days, next time","kali ini, berikutnya"
機会,きかい,"chance, opportunity",kesempatan
建てる,たてる,to build,membangun
複雑,ふくざつ,"complexity, complication",rumit
彼,かれ,"he, boyfriend",dia (laki-laki)
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --","pergi, datang, ada (sopan)"
布団,ふとん,futon,futon (kasur jepang)
大事,だいじ,"important, valuable, serious matter",penting
贈り物,おくりもの,a gift; a present,"hadiah, kado"
泥棒,どろぼう,thief; burglar,pencuri
～製,～せい,made in ~,buatan ~
注意,ちゅうい,"caution, attention","peringatan, perhatian"
台風,たいふう,typhoon,"topan, badai"
