KANJI,CARA BACA,ARTI INDONESIA
会う,あう,bertemu
上がる,あがる,masuk (naik)
開く,あく,terbuka
味わう,あじわう,mencicipi / menikmati
足をくずす,あしをくずす,duduk dengan nyaman
預かる,あずかる,menerima (titipan)
遊ぶ,あそぶ,bermain
遊ぶ,あそぶ,bersenang-senang
集まる,あつまる,berkumpul
油を差す,あぶらをさす,melumasi
洗う,あらう,mencuci
ある／あります,ある／あります,ada / memiliki
ある　（町にあるもの）,ある　（まちにあるもの）,"hadir di (misalnya, hal-hal yang ada di kota)"
歩く,あるく,berjalan kaki
言う,いう,mengatakan / memberitahu
行く／行きます,いく／いきます,pergi
急ぐ,いそぐ,bergegas
いただく,いただく,menerima (ekspresi sopan もらう)
いなくなる,いなくなる,pergi (meninggalkan tempat)
嫌になる,いやになる,menjadi menyebalkan
いる,いる,mewajibkan
祝う,いわう,merayakan
受け取る,うけとる,menerima (sesuatu)
動かす,うごかす,bergerak
動く,うごく,bekerja / pindah
歌う,うたう,bernyanyi
うつす,うつす,diteruskan
うまくいく,うまくいく,berjalan dengan baik
売る,うる,menjual
選ぶ,えらぶ,memilih
お金を取る,おかねをとる,menagih uang
置く,おく,menempatkan
送る,おくる,mengantar seseorang pulang
送る,おくる,mengirim
起こす,おこす,menyebabkan
行う,おこなう,melakukan (formal/resmi)
怒る,おこる,menjadi marah
起こる　（地震が起こる）,おこる　（じしんがおこる）,"terjadi (misalnya, terjadi gempa bumi)"
おさまる　（揺れがおさまる）,おさまる　（ゆれがおさまる）,"berhenti (misalnya, guncangan telah berhenti)"
押す／押,おす,mendorong
押す,おす,menekan / mendorong
押す　（スタンプを押す）,おす　（スタンプをおす）,"menempelkan (misalnya, menempelkan perangko)"
遅くなる,おそくなる,menjadi terlambat
落ち着く,おちつく,tetap tenang
踊る,おどる,menari
驚く,おどろく,terkejut
お腹がすく,おなかがすく,menjadi lapar
お風呂に入る,おふろにはいる,mandi
思う,おもう,berpikir / merasa
泳ぐ,およぐ,berenang
折る　（骨を折る）,おる　（ほねをおる）,"mematahkan (misalnya, mematahkan tulang)"
おろす,おろす,menarik diri
終わる,おわる,selesai
～終わる　（食べ終わる）,～おわる　（たべおわる）,menyelesaikan ～ (contoh: selesai makan)
買う／買います,かう／かいます,membeli
返す,かえす,mengembalikan
帰る,かえる,pulang
かかる／かかります,かかる／かかります,memerlukan / memakan
かかる,かかる,memakan biaya
書く,かく,menulis
描く,かく,menggambar (sebuah gambar)
かけ合う,かけあう,saling melempar / memercikkan
飾る,かざる,memajang
火事になる,かじになる,berubah menjadi api
貸す／貸します,かす／かします,meminjamkan
稼ぐ　（お金を稼ぐ）,かせぐ　（おかねをかせぐ）,"mendapatkan (misalnya, mendapatkan uang)"
肩がこる,かたがこる,memiliki bahu kaku
語る,かたる,bercerita / bertutur
かつぐ,かつぐ,dibawa di pundak
かぶる　（帽子をかぶる）,かぶる　（ぼうしをかぶる）,"memakai (misalnya, memakai topi)"
かぶる　（ヘルメットをかぶる）,かぶる　（ヘルメットをかぶる）,"memakai (misalnya, memakai helm)"
通う,かよう,pergi ke
変わる,かわる,mengubah
がんばる,がんばる,bekerja keras
聞く／聞きます,きく／ききます,mendengarkan
聞く,きく,bertanya
築く,きずく,membuat / membangun
気づく,きづく,menyadari
気に入る,きにいる,mulai menyukai
決まる,きまる,mengambil keputusan
興味がある,きょうみがある,tertarik pada
切り開く,きりひらく,merintis / membuka jalan
切る／切,きる,mematikan / OFF
切る,きる,memotong
くじく,くじく,memutar
くもる,くもる,menjadi berawan / mendung
暮らす,くらす,menjalani hidup
くり返す,くりかえす,mengulanginya
車を出す,くるまをだす,memberi tumpangan
消す　（電気を消す）,けす　（でんきをけす）,"mematikan (misalnya, matikan lampu)"
消す　（火を消す）,けす　（ひをけす）,"memadamkan (misalnya, memadamkan api)"
声をかけあう,こえをかけあう,menyapa satu sama lain
困る,こまる,merasa terganggu
混む,こむ,menjadi ramai
転ぶ,ころぶ,terjatuh (tersandung)
探す,さがす,mencari
下がる　（熱が下がる）,さがる　（ねつがさがる）,turun (contoh: demam turun)
咲く,さく,mekar
誘う,さそう,mengundang
触る,さわる,menyentuh
時間がかかる,じかんがかかる,memerlukan waktu / butuh waktu
従う　（指示に従う）,したがう　（しじにしたがう）,"mengikuti (misalnya, mengikuti instruksi)"
死ぬ,しぬ,mati
しばる,しばる,mengikat
閉まる,しまる,tertutup
しゃがむ,しゃがむ,berjongkok
知り合う,しりあう,berkenalan
知る,しる,mengetahui
吸う　（たばこを吸う）,すう　（たばこをすう）,"merokok (misalnya, merokok sebatang rokok)"
吸う　（煙を吸う）,すう　（けむりをすう）,"bernapas (misalnya, menghirup asap)"
過ごす,すごす,menghabiskan (waktu)
すすぐ,すすぐ,membilas
進む,すすむ,bergerak maju
住む,すむ,tinggal (di suatu tempat)
済む,すむ,selesai / beres
座る,すわる,duduk
注ぐ,そそぐ,menuangkan
出す,だす,mengeluarkan
出す,だす,mengumpulkan / mengajukan
