A,B,C
今,いま,sekarang
もう,もう,sudah
まだ,まだ,belum/masih
また,また,lagi/lain kali
もっと,もっと,lebih (lagi)
少し,すこし,sedikit
たくさん,たくさん,banyak
全部,ぜんぶ,semua/seluruhnya
一緒に,いっしょに,bersama-sama
ゆっくり,ゆっくり,pelan-pelan
早く,はやく,cepat/segera
すぐ,すぐ,segera/langsung
だいたい,だいたい,kira-kira/kebanyakan
ちょっと,ちょっと,sebentar/sedikit
とても,とても,sangat
すごく,すごく,sangat (lebih kasual)
あまり,あまり,tidak terlalu (diikuti negatif)
全然,ぜんぜん,sama sekali (tidak)
本当に,ほんとうに,benar-benar/sungguh
絶対,ぜったい,pasti/absolut
たぶん,たぶん,mungkin/sepertinya
きっと,きっと,pasti (lebih yakin)
もしかして,もしかして,mungkin/jangan-jangan
はじめて,はじめて,untuk pertama kali
いつも,いつも,selalu/biasanya
時々,ときどき,kadang-kadang
たまに,たまに,sesekali/jarang-jarang
よく,よく,sering/dengan baik
あまり,あまり,jarang (diikuti negatif)
だんだん,だんだん,lama-lama/makin lama
もうすぐ,もうすぐ,sebentar lagi
さっき,さっき,tadi/barusan
あとで,あとで,nanti/setelah ini
前に,まえに,sebelumnya/di depan
一人で,ひとりで,sendiri/sendirian
一緒,いっしょ,bersama
だけ,だけ,hanya/saja
しか,しか,hanya (diikuti negatif)
ほど,ほど,sekitar/sejauh
ぐらい,ぐらい,kira-kira/sekitar
以上,いじょう,lebih dari/sekian
以下,いか,kurang dari/di bawah
特に,とくに,terutama/khususnya
例えば,たとえば,misalnya/contohnya
やっぱり,やっぱり,ternyata/memang (dugaan terbukti)
やはり,やはり,ternyata/memang (lebih formal)
なぜ,なぜ,mengapa
どうして,どうして,kenapa/mengapa
どうやって,どうやって,bagaimana caranya
どのくらい,どのくらい,seberapa/berapa lama
どこでも,どこでも,di mana saja
いつでも,いつでも,kapan saja
なんでも,なんでも,apa saja
誰でも,だれでも,siapa saja
ほとんど,ほとんど,hampir semua/hampir
なかなか,なかなか,cukup/lumayan (juga: susah ternyata)
やっと,やっと,akhirnya (setelah lama)
ついに,ついに,akhirnya (klimaks)
もちろん,もちろん,tentu saja
確かに,たしかに,memang benar/betul
実は,じつは,sebenarnya/sebetulnya
でも,でも,tapi/tetapi
しかし,しかし,namun/akan tetapi
それから,それから,setelah itu/lalu
そして,そして,dan/lalu
だから,だから,makanya/jadi
でも,でも,tapi
だけど,だけど,tapi (lebih kasual)
もしも,もしも,seandainya/kalau misalnya
